"global_step","Group: general-distillation - _step","Group: general-distillation - _step__MIN","Group: general-distillation - _step__MAX","Group: general-distillation - rep_loss","Group: general-distillation - rep_loss__MIN","Group: general-distillation - rep_loss__MAX","Group: general-distillation-attn - _step","Group: general-distillation-attn - _step__MIN","Group: general-distillation-attn - _step__MAX","Group: general-distillation-attn - rep_loss","Group: general-distillation-attn - rep_loss__MIN","Group: general-distillation-attn - rep_loss__MAX","Group: general-distillation-rep - _step","Group: general-distillation-rep - _step__MIN","Group: general-distillation-rep - _step__MAX","Group: general-distillation-rep - rep_loss","Group: general-distillation-rep - rep_loss__MIN","Group: general-distillation-rep - rep_loss__MAX"
"153","1227.5","1220","1235","56.90247998415496","56.88142194245991","56.92287586196776","1227.5","1220","1235","91.6731673348001","91.67281581552784","91.6736919399288","1227.5","1220","1235","56.83962340039991","56.818907789819406","56.85966426710929"
"155","1243.5","1236","1251","56.81386640650583","56.79474848434257","56.83301720023155","1243.5","1236","1251","91.67502031879444","91.67459480564948","91.67530395835638","1243.5","1236","1251","56.752447065787884","56.73365799846044","56.77126284688711"
"157","1259.5","1252","1267","56.73209538139017","56.71227669381962","56.75165683934183","1259.5","1252","1267","91.67449767080335","91.67435729894665","91.6746851959371","1259.5","1252","1267","56.67207473872501","56.65260049586648","56.69130756277026"
"159","1275.5","1268","1283","56.64584425155898","56.626969888225425","56.6654710874838","1275.5","1268","1283","91.67615901164135","91.67567352070733","91.67648442702176","1275.5","1268","1283","56.58724002140431","56.5687111295145","56.606518650756165"
"161","1291.5","1284","1299","56.56343678276553","56.54520885114628","56.582767254965646","1291.5","1284","1299","91.67689007392049","91.67664569737103","91.67714476268623","1291.5","1284","1299","56.50624661171446","56.48834010052786","56.52524457318442"
"163","1307.5","1300","1315","56.4809156753543","56.461207339982245","56.500474125146866","1307.5","1300","1315","91.67823531028824","91.67761603005535","91.67872837985185","1307.5","1300","1315","56.42515591126246","56.405806955764106","56.444364312622284"
"165","1323.5","1316","1331","56.398356240808354","56.38031690850469","56.417144304997215","1323.5","1316","1331","91.67978951933559","91.67956109378683","91.67998283720178","1323.5","1316","1331","56.344083784628985","56.32636001688724","56.36254388577229"
"167","1339.5","1332","1347","56.319327448175535","56.30049322021385","56.338160172889104","1339.5","1332","1347","91.68046150251756","91.68028652628914","91.68076897752081","1339.5","1332","1347","56.266427630464975","56.24792243715808","56.284916388361076"
"169","1355.5","1348","1363","56.24056988464921","56.22148628567101","56.25897904848441","1355.5","1348","1363","91.68169296483306","91.68114032592773","91.6823163610173","1355.5","1348","1363","56.1890459518738","56.170302015774226","56.207131856527084"
"171","1371.5","1364","1379","56.16312668005212","56.14622262490762","56.181188797950746","1371.5","1364","1379","91.68260136500895","91.68239498138428","91.68282274907646","1371.5","1364","1379","56.11298390963384","56.09640139723376","56.130717259645465"
"173","1387.5","1380","1395","56.0880434277944","56.069221585697036","56.106409898618374","1387.5","1380","1395","91.68297505702013","91.68250567515389","91.68360275923982","1387.5","1380","1395","56.03926413320825","56.020767358522626","56.05729589811185"
"175","1403.5","1396","1411","56.01392935469019","55.99790825187677","56.03005091916947","1403.5","1396","1411","91.68330310001856","91.68266739420093","91.68389704254037","1403.5","1396","1411","55.96652638152283","55.95082423229091","55.98231585820516"
"177","1419.5","1412","1427","55.94122638652511","55.92371077163883","55.95815278762995","1419.5","1412","1427","91.68351293886056","91.68321574314314","91.6838884223373","1419.5","1412","1427","55.89519086153005","55.87801047626114","55.91179831083431"
"179","1435.5","1428","1443","55.868688322965546","55.85267317202924","55.8856559260325","1435.5","1428","1443","91.6841140625009","91.6838883958228","91.68430900438935","1435.5","1428","1443","55.824046134546045","55.8083362002986","55.840679382736035"
"181","1451.5","1444","1459","52.68526305317191","52.29962921142578","55.81476490232679","1451.5","1444","1459","91.70907100508506","91.634033203125","91.77909240722656","1451.5","1444","1459","52.69809316147699","52.318800354003905","55.771171392334836"
"183","1467.5","1460","1475","52.37041117362627","52.34790120226272","52.39198740790872","1467.5","1460","1475","91.73898456675737","91.73143005371094","91.74526360694398","1467.5","1460","1475","52.389902426223166","52.36818906094165","52.411443934721106"
"185","1483.5","1476","1491","52.35580693837025","52.33994538036745","52.38341686393641","1483.5","1476","1491","91.72868994354101","91.71676423278036","91.73588778367683","1483.5","1476","1491","52.37705614635462","52.3612829749264","52.40458123895186"
"187","1499.5","1492","1507","52.33648703182922","52.32924899539432","52.34853168328603","1499.5","1492","1507","91.72334693995427","91.72069064053622","91.72690023290049","1499.5","1492","1507","52.35856749289012","52.35158607551644","52.37038918336233"
"189","1515.5","1508","1523","52.2750098237752","52.258267115879725","52.302382588386536","1515.5","1508","1523","91.72392716820042","91.71889936923981","91.7261401089755","1515.5","1508","1523","52.29833779741846","52.28198082130272","52.32520553469658"
"191","1531.5","1524","1539","52.234216864292264","52.21564522879464","52.25182220935822","1531.5","1524","1539","91.71831930176847","91.7153212464886","91.72152182113292","1531.5","1524","1539","52.25823593286532","52.239996468680246","52.27565739154816"
"193","1547.5","1540","1555","52.16368844713814","52.14626162260481","52.184857189655304","1547.5","1540","1555","91.72308061517215","91.72140243372966","91.72441552912147","1547.5","1540","1555","52.18914029788441","52.17208428984707","52.20991758505503"
"195","1563.5","1556","1571","52.10936208977575","52.10469375993417","52.113566351996525","1563.5","1556","1571","91.72195826740473","91.71931230872246","91.72513679095677","1563.5","1556","1571","52.13579360501186","52.13118091088459","52.13986970689562"
