"global_step","Group: general-distillation - _step","Group: general-distillation - _step__MIN","Group: general-distillation - _step__MAX","Group: general-distillation - att_loss","Group: general-distillation - att_loss__MIN","Group: general-distillation - att_loss__MAX","Group: general-distillation-attn - _step","Group: general-distillation-attn - _step__MIN","Group: general-distillation-attn - _step__MAX","Group: general-distillation-attn - att_loss","Group: general-distillation-attn - att_loss__MIN","Group: general-distillation-attn - att_loss__MAX","Group: general-distillation-rep - _step","Group: general-distillation-rep - _step__MIN","Group: general-distillation-rep - _step__MAX","Group: general-distillation-rep - att_loss","Group: general-distillation-rep - att_loss__MIN","Group: general-distillation-rep - att_loss__MAX"
"195","1563.5","1556","1571","4.574941771859586","4.570106309941162","4.579386957519723","1563.5","1556","1571","4.166170810964263","4.162142068804098","4.1697239736134035","1563.5","1556","1571","24.09896789635905","24.071907540329363","24.13385396344321"
"197","1579.5","1572","1587","4.573294855980989","4.56832262939877","4.57793181668967","1579.5","1572","1587","4.162659449551821","4.157727589430633","4.167328424751759","1579.5","1572","1587","23.914571332351247","23.85911259528016","23.97021260857582"
"199","1595.5","1588","1603","4.567423478936256","4.565022423417862","4.5694255356987314","1595.5","1588","1603","4.1553167841038965","4.152773484835197","4.157580999864472","1595.5","1588","1603","23.703923866872273","23.653521018453162","23.75920237435235"
"201","1611.5","1604","1619","4.56836632053589","4.566376558792444","4.572429966570726","1611.5","1604","1619","4.1543035690280785","4.152655467253465","4.157576116163339","1611.5","1604","1619","23.52577436796956","23.499893524397667","23.566284626722336"
"203","1627.5","1620","1635","4.556618012938517","4.553724557242536","4.560527798127044","1627.5","1620","1635","4.142010067604649","4.139034590864052","4.1459068710153755","1627.5","1620","1635","23.27386677280979","23.223729255738636","23.33096261999824"
"205","1643.5","1636","1651","4.556081115457768","4.553901486790057","4.557774840142195","1643.5","1636","1651","4.140001624113244","4.1381891265357895","4.141134170661295","1643.5","1636","1651","23.090089982335442","23.050785203326615","23.135809530814488"
"207","1659.5","1652","1667","4.556871123838515","4.555894637675513","4.5582066539268755","1659.5","1652","1667","4.1393196639327465","4.138564601966313","4.140227332780528","1659.5","1652","1667","22.907633994571732","22.873671746309284","22.946066086108868"
"209","1675.5","1668","1683","4.560213278834496","4.558640358981959","4.56189160388359","1675.5","1668","1683","4.1408720516589375","4.139604581168909","4.1422278211007715","1675.5","1668","1683","22.74684317563602","22.70935955006412","22.780387371778488"
"211","1691.5","1684","1699","4.561498898098936","4.560168142511387","4.5624574254626875","1691.5","1684","1699","4.140587473355966","4.139078045373011","4.141369960546981","1691.5","1684","1699","22.576326996769527","22.52843417736015","22.616073709726333"
"213","1707.5","1700","1715","4.555131698432788","4.553606417973836","4.556564875281112","1707.5","1700","1715","4.1334036361902315","4.13183191662743","4.134966331151029","1707.5","1700","1715","22.384019494138336","22.345434024166565","22.42631164379418"
